First Level,Second Level,Third Level (Fourth Level Task Count)
Metrics,Quality Assessment,vizwiz quality accessment for blind
Metrics,Generated Video Eval,video eval visual pref
Metrics,Generated Video Eval,generated video artifacts
Metrics,Generated Video Eval,video eval factual pref
Metrics,Generated Video Eval,video eval dynamic pref
Metrics,Generated Image Eval,autorater mask
Metrics,Generated Image Eval,autorater unmask
Metrics,Generated Image Eval,autorater artifact reason
Metrics,Generated Image Eval,autorater control
Metrics,Generated Image Eval,autorater artifact
Metrics,Generated Image Eval,autorater motion guided editing
Metrics,Generated Image Eval,autorater aesthetics
Metrics,Generated Image Eval,autorater 3d model texturing
Metrics,Generated Image Eval,autorater semantics
Metrics,Generated Image Eval,autorater subject
Metrics,Reward Models,reward models t2i reward
Metrics,Reward Models,reward models i2t reward
Metrics,Paper Review,paper review writing
Metrics,Paper Review,paper review rating
Metrics,Paper Review,paper review acceptance
Information Extraction,Detailed Manual Understanding,multi lingual manual explanation scooter Russian
Information Extraction,Detailed Manual Understanding,multi lingual manual explanation scooter Arabic
Information Extraction,Detailed Manual Understanding,multi lingual manual explanation scooter French
Information Extraction,Detailed Manual Understanding,multi lingual manual explanation scooter Chinese
Information Extraction,Detailed Manual Understanding,multi lingual manual explanation scooter Spanish
Information Extraction,Compound Search and Calculate,top rated hotel identification
Information Extraction,Compound Search and Calculate,game platform support identification
Information Extraction,Compound Search and Calculate,remaining playback time calculation
Information Extraction,Compound Search and Calculate,weather info retrieval
Information Extraction,Compound Search and Calculate,stock info retrieval
Information Extraction,Compound Search and Calculate,cheapest flight identification
Information Extraction,Compound Search and Calculate,highest discount game price identification
Information Extraction,Compound Search and Calculate,movie info retrieval
Information Extraction,Compound Search and Calculate,top video creator identification
Information Extraction,Compound Search and Calculate,newspaper page parse and count
Information Extraction,Summarization,video content reasoning
Information Extraction,Summarization,video short title
Information Extraction,Summarization,video2notes
Information Extraction,Summarization,video summary
Information Extraction,Structured Parsing,ocr resume school plain
Information Extraction,Structured Parsing,game info parsing
Information Extraction,Structured Parsing,entertainment web game style
Information Extraction,Structured Parsing,multilingual game info parsing
Information Extraction,Structured Parsing,youtube video info parsing
Information Extraction,Structured Parsing,booking web rating
Information Extraction,Structured Parsing,multilingual movie info parsing
Information Extraction,Structured Parsing,ocr article authors
Information Extraction,Structured Parsing,weather map climate type temperature parsing
Information Extraction,Structured Parsing,TV show info parsing
Information Extraction,Structured Parsing,hotel booking confirmation parsing
Information Extraction,Structured Parsing,music info parsing
Information Extraction,Structured Parsing,weather info parsing
Information Extraction,Structured Parsing,stock info parsing
Information Extraction,Structured Parsing,movie info parsing
Information Extraction,Structured Parsing,image translation en2cn
Information Extraction,Multimodal QA,Video QA (7 tasks)
Information Extraction,Multimodal QA,Large Image (3 tasks)
Information Extraction,Multimodal QA,realworld qa en2cn
Information Extraction,Multimodal QA,star object interaction video
Information Extraction,Multimodal QA,multilingual news qa
Information Extraction,Multimodal QA,GUI Chat (2 tasks)
Information Extraction,Search By Attribute No Calculate,places365 similar scene retrieval
Information Extraction,Search By Attribute No Calculate,media homepage profile
Information Extraction,Search By Attribute No Calculate,coco ood global image retrieval by query property
Information Extraction,Search By Attribute No Calculate,Movie retrieval by actor
Information Extraction,Search By Attribute No Calculate,booking web recommendation
Information Extraction,Search By Attribute No Calculate,TV show retrieval by character
Information Extraction,Search By Attribute No Calculate,game info retrieval
